연번,제목,본문
266,[법전 및 조약집 배부여부] 2차 국제법 시간에 조약집이 배부되나요? 법률과목에 모두 법전이 배부되는지와 집에서 보는 법전을 가져와도 되는지 궁금합니다.,"5급 공개경쟁채용시험(행정) 제2차시험에서 국제법 과목 시간에 법전 외에 조약집은 배부되지 않습니다.법률과목에는 모두 법전이 배부되나, 사회복지학 등 법률과목이 아닌 과목의 경우에는 별도로 법전이 배부되지 않습니다.또한 개인이 개별적으로 가져오시는 법전을 보실 수는 없습니다."
267,"[경기도 시험장] 이번 9급 시험장을 확인해 보니 과천 집에서 가까운 안양이 아니라 수원으로 배정되었던데, 배정오류 아닌가요?","경기도의 경우, 남부지역은 수원·안양·용인·성남시 등 지역에 시험장이 있고,북부지역은 의정부·양주·남양주시 등 지역에 시험장이 마련되어 있습니다.시험장과 시험장이 있는 지역은 수험생의 대중교통 접근성, 문제책 운송의 편의성 및 보안성, 시험장 시설여건 및 종전 활용사례 등 다양한 요소를 감안하여 결정하고 있습니다.현행 응시원서 접수 및 응시번호 부여 시스템상 수험생은 원서접수 시,응시지역으로 '경기도-남부', '경기도-북부 ' 중 하나를 선택할 수 있지만 남부지역 내의 어느 ○○시까지 선택할 수는 없습니다. 동일 모집단위의 응시자는 응시번호가 연속하여 배정되고 응시번호를 기준으로 시험장을 배정하기 때문에수험생 개개인의 거주지를 반영하여 시험장을 배정하는 것은 어렵다는 말씀을 드립니다.위에서 언급한 여러가지 사정을 감안하시어 시험장이 실제 거주지와 다소 멀리 배정되셨다 하더라도 너그러운 이해 부탁드립니다."
268,[시험시간 중 휴대폰 소지] 긴장한 나머지 스마트폰을 내놓지 않고 시험을 보다가 감독관에게 적발됐습니다. 이 경우도 부정행위자로 처리되나요?,공무원임용시험령 제51조제2항에 의해 당해시험이 무효 처리됩니다.여러 시험 에서 통신기기를 이용한 부정행위 사례가 증가하고 있는 추세를 감안하여 시험시간 중에허용되지 아니한 통신기기를 소지한 것만으로도 당해시험의 정지 또는 무효처분의 대상이 됩니다.만약 통신기기 등을 직접 사용하여 타인과 의사소통을 주고 받는 등의 행위가 적발된 경우에는5년간 공무원 채용시험의 응시자격이 정지됩니다.앞으로는 이와 같은 불이익을 받지 않도록 시험시작 전에 시험감독관의 지시에 따라통신기기의 전원을 차단한 후 시험실 전면으로 내놓으시기 바랍니다.
269,[무효처분의 효력] 시험종료 후 답안 작성을 이유로 해당 시험 무효통보를 받았습니다. 앞으로 5년간 공무원 시험을 볼 수 없는 건가요?,"귀하께서 받은 시험의 무효처분은 당해시험에 한해 무효일 뿐 향후 5년간 공무원 채용시험의 응시자격을 제한하는 처분이 아니므로 너무 염려하지 않으셔도 됩니다. 참고로 5년간 자격정지의 대상이 되는 부정행위는 대리응시, 전자기기를 활용한 의사소통행위, 부정한 자료를가지고 있거나 이용하는 행위 등으로 「공무원임용시험령」 제51조 제1항에서 규정하고 있습니다."
270,[시험종료 후 답안 작성] 시험종료 후 약 10 초간 답안지를 더 작성하다가 시험감독관 지시에 따라 자술서를 작성했습니다 . 그럼 저는 어떠한 처분을 받게 됩니까?,"인사혁신처 주관 공개경쟁채용시험은 1~2문제로 합격의 당락이 결정되는, 경쟁이 치열한 시험입니다.특정 수험생이 시험시간 종료 후에도 답안을 계속하여 작성하는 행위는 시험의 공정성을 해하는 불공정행위로 불이익 처분이 불가피합니다.이러한 사항은 필기시험 시행 7일 전에 발표하는 ""시험일시 및 장소 공고문""과 답안지 뒷면의 ""응시자 준수사항 등을 통해 공지한 바 있습니다.인사혁신처에서는 수험생이 직접 작성한 자술서와 시험감독관이 작성한 확인서를 근거로 사실관계를 확인한 후「공무원임용시험령」 제51조제2항에 따라 당해시험의 무효처분을 하게 됩니다."
271,[시험 전 개명] 필기시험 이틀 전에 개명이 되었어요. 시험장에서 어떻게 본인 확인을 받나요?,"먼저, 개명 전의 신분증으로 신분확인을 받고 시험에 응시하시는 방법이 있습니다.이후 인사혁신처로 연락하신 후 개명 전후의 성명 확인이 가능한 주민등록초본 등을 제출하시면 됩니다.만약, 개명 전의 신분증이 없으시다면 개명 사실이 확인 가능한 주민등록초본 또는 법원 판결문을 지참하여 시험장에 오시고 시험 중 본인확인 시간에 신분증과 증빙서류를시험감독관에게 보여주시기 바랍니다."
272,[응시표 미지참] 응시표를 분실했습니다. 시험을 볼 수 없나요?,"응시표를 분실했더라도 시험응시가 가능하지만 응시표가 없을 경우 본인의 시험장 및 시험실 좌석을 확인하는데 어려움이 있고, 9급공채의 경우행정직군의 선택과목명 등을 알 수 없으므로 가급적 응시표를 재출력 · 지참하신 상태에서 시험장에 오시기 바랍니다.응시표는 시험일이 속한 연도의 말까지 언제든지 다시 출력할 수 있습니다."
273,"[답안지의 제1~5과목 표기 순서] 9급공채 행정직 답안지를 작성할 때, 과목순서(제1~5과목)는 어떻게 되나요?","2022년부터 9급 공채 선택과목이 폐지됨에 따라 제1~5과목을 문제책 과목 순서대로 작성하시면 됩니다.수험생이 답안 마킹시 문제책 과목순이 아닌순서를 바꾸어 표기하여도, 문제책 순서대로 채점이 되므로 착오 없으시기 바랍니다."
274,"[귀마개 사용] 필기시험을 볼 때, 스펀지로 된 귀마개는 사용 가능하나요?","인사혁신처에서 주관하는 공개경쟁채용시험에서는 스펀지 형태로 된 귀마개 사용이 가능합니다. 다만, 시험 당일 시험감독관이 해당 귀마개가 통신기능이 장착된 제품인지 등을 확인하는 절차가 있습니다.다만,귀마개 착용으로시험감독관의 종료시간 예고, 종료 알림벨 등을 듣지 못해 발생되는 문제는본인의 귀책사유이므로 유의하시기 바랍니다."
275,"[수정테이프 제공여부] 시험당일, 수정테이프를 본인이 가져와야 하나요? 만약 안 가져온 경우 시험본부에서 제공해 주는 건가요?",수험생 본인이 정품 수정테이프를 구입하여 시험장에 가져오셔야 합니다.시험장 시험본부 및 시험감독관이 수정테이프를 개별적으로 제공하지는 않습니다.또한 시험시간 중에 옆 좌석의 수험생에게 수정테이프를 빌려서 사용하는 것도 다른 수험생에게 피해를 줄 수 있기 때문에 허용되지 않습니다. *응시자 간에 수정테이프를 상호 주고 받을 경우 부정행위로 처리됩니다.
276,"[수정액, 수정스티커 사용금지] 답안을 수정할 때 수정액이나 수정스티커의 사용도 가능합니까?","답안을 잘못 표기했을 경우에는 답안지를 교체하여 사용하거나 수정테이프를 활용하여 답안을 수정할 수 있습니다.이 때 답안의 수정은 오로지 수정테이프로만 해야 하며, 수정액과 수정스티커는 절대 사용할 수 없습니다.수정액 사용 후 마르지 않은 채로 답안지를 제출하거나 수정스티커를 불완전하게 부착한 경우,본인뿐 아니라 다른 수험생의 답안지에도 영향을 미칠 수 있고 OCR기기에 의한 판독과정에서기계결함을 일으킬 수 있기 때문에 수정액과 수정스티커는 엄격히 사용을 제한하고 있습니다."
277,"[답안 수정방법] 답안을 표기하다가 실수를 해서 수정을 하고 싶은데, 반드시 새로운 답안지를 받아서 재작성해야 하나요?","2014년부터는 수험생의 응시부담 완화를 위해 수정테이프(수정액, 수정스티커는 사용 불가)를 사용해답안을 수정할 수 있도록 개선하였습니다.다만, 불량 수정테이프 제품 사용과 불완전한 수정 처리로 인해 발생하는 모든 문제는 전적으로 수험생 책임이므로반드시 정품 수정테이프를 사용하시고, 수정테이프가 떨어지지 않도록 사용 후 손으로 다시 한번 꾹 눌러주시기 바랍니다."
278,"[잘못된 답안 표기] 답안지 작성시간이 부족하여 답안마킹을 점으로만 살짝 찍었는데, 이러면 OCR기기가 인식을 하지 못하나요?","인사혁신처에서 주관하는 모든 공개경쟁채용시험의선택형 필기시험은OCR(이미지스캐너)기기에 의한 판독 결과로만 채점이 됩니다.수험생은 인사혁신처에서 공고하는 ""응시자 준수사항""에 따라 답안을 올바르게 표기해야 하고, 잘못된 방식으로 답안을 마킹 하는 경우에는정상적으로 판독되지 않을 수 있습니다.이는전적으로 수험생의 귀책사유에 해당하여 불이익을 감수하셔야 합니다.앞으로는 적절한 시간배분을 통해 답안 표기에 주의를 기울여 주시기 바랍니다."
279,[적색펜 등 예비마킹 절대 금지] 선택형 답안지에 적색펜이나 연필로 예비마킹을 한 후에 컴퓨터용 흑색사인펜으로 답안을 작성해도 되나요?,"2014년부터 모든 공개경쟁채용시험 선택형 필기시험의 채점은OCR(이미지 스캐너)기기에 의한 판독결과에 의해서만 처리됩니다.OCR기기로는 연필, 형광펜, 적색펜 등 펜의 종류와 색깔에 관계없이 모두 판독될 가능성이 높으므로예비마킹으로 인한 불이익(더블마킹으로 해당 문항 무효처리)을 받지 않기 위해서는 반드시 컴퓨터용 흑색 사인펜 만을 사용하여 답안을 작성해야 합니다."
280,[자격증 소지여부 판단시점] 응시원서 접수일 기준으로 자격증을 취득해야만 자격증 가산점을 받을 수 있는 것인지요?,"6급이하 채용시험에서 자격증 가산점을 적용받기 위해서는응시원서 접수일이 아니라 필기시험(7급은 2차시험)전일까지 가산점 적용요건을 충족하시면 됩니다.이어 필기시험일(7급은 2차시험일)을 포함하여 3일 이내(마지막 날은 21시까지)에 국가공무원채용시스템(gongmuwon.gosi.kr)에 접속하여본인이 소지하고 있는 자격증명과 해당 가산비율을 입력해야 채점과정에서 가산점이 반영됩니다.참고로, 7급 공채시험의 경우1차시험일 포함 3일 이내에 취업지원대상자 가점을 입력하니 혼동하지 않도록 주의하시기 바랍니다."
281,"[장애인 편의지원 신청] 확대답안지, 시험시간 연장 등의 편의지원을 받고 싶은데 신청절차가 어떻게 되나요?","편의지원 사전신청 기간 또는 응시원서 접수 기간 중에 귀하의 장애 종류 및 등급·정도 등의 기본정보를 입력한 후 제1차 필기시험에서 필요로 하는 편의지원 서비스를 신청하시면 됩니다.제2차(논문형)시험 및 제3차(면접)시험에서의 편의지원 서비스는 제1차 및 제2차시험 합격자 발표일에 안내하는 기간 내에 국가공무원채용시스템을통해 신청할 수 있습니다. 일반적으로는 추가 서류제출은 없습니다. 다만,뇌병변 장애정도가 심하지 않은 사람 또는 시각장애를 가지고 있는 사람 중시험시간 연장을 위해 진단서가 필요한 사람이시험시간 연장조치를 신청한 경우 등과 같이 일부 특수한 경우에는 종합병원에서 발급한 의사진단서를 제출해야 하는 절차가 있습니다.이 경우, 제출하신 의사진단서를 토대로 신청하신 편의지원 서비스 제공여부를 결정한 후 그 결과를 통보해 드립니다.장애인 유형별 편의지원 내용 및 제출서류 등은 국가공무원채용시스템에 공지된 자료를 참조하시기 바랍니다."
